instruction,input,response
Quelle est la date d'entrée des membres de l'équipe Valorant VCT ?,,"12 décembre 2023, 11 novembre 2022, 12 décembre 2023, 12 décembre 2023, 12 décembre 2023, 12 décembre 2023, 12 décembre 2023, 19 janvier 2024"
Quels sont les membres de l'équipe Valorant GC et leur nationalité ?,,"Nelo (France), Matriix (Belgique), Glance (Russie), Kuripuuya (Turquie), Roxi (Allemagne), LaAw (France), uNKOE (France), Fabkill (France)"
Quels sont les rôles des membres de l'équipe Valorant GC ?,,"Joueuse, Joueuse, Joueuse, Joueuse, Joueuse, Head Coach, Coach, Performance Coach"
Quelle est la date d'entrée des membres de l'équipe Valorant GC ?,,"9 février 2023, 9 février 2023, 28 janvier 2024, 28 janvier 2024, 17 Mai 2024, 9 février 2023, 28 janvier 2024, 28 janvier 2024"
Quels sont les anciens joueurs de la Karmine Corp sur Super Smash Bros. Ultimate ?,,"Kurama (Alias), Pedro Alonso Jr. (Nom), Joueur (Poste), 21 janvier 2023 (Date d'arrivée), 19 décembre 2023 (Date de départ)"
Qui sont les membres de l'équipe Fortnite et quel est leur rôle ?,,"Malibuca, Danila Yakovenko, Joueur (Rôle), 9 mai 2024 (Date d'entrée)
                Merstach, Andrejs Piratovs, Joueur (Rôle), 9 mai 2024 (Date d'entrée)
                Veno, Harry Pearson, Joueur (Rôle), 11 mai 2024 (Date d'entrée)
                Swizzy, Egor Luciko, Joueur (Rôle), 11 mai 2024 (Date d'entrée)
                Anas, Anas El-Abd, Joueur (Rôle), 26 mai 2024 (Date d'entrée)
                Oslo, Philippe Carvalho, Coach (Rôle), 9 mai 2024 (Date d'entrée)"
Qui fait partie de l'équipe Tekken 8 et quel est son rôle ?,,"JDCR, Kim Hyun-jin, Joueur (Rôle), 29 mai 2024 (Date d'entrée)"
Quels sont les membres de l'équipe Street Fighter 6 et quel est leur nationalité ?,,"Kilzyou, Kilyan Faucheux, Joueur (Rôle), 29 mai 2024 (Date d'entrée), Drapeau de la France (Nationalité)"
Quels événements a remportés le joueur en 2023 ?,Année 2023,"Winter Open, Winter Cup, Olympic Esports Week Showmatch, Flip & Spin, TMWT World Championship, Maji Mondays, XPEvo Cup"
Quels événements a remportés le joueur en 2024 ?,Année 2024,"Open Qualifier #1, Open Qualifier #2, Open Qualifier #3, VCT EMEA Kickoff, VCT Game Changers EMEA Contenders, FNCS Major 2, FNCS Major 3: North America - Qualifier 1, FNCS Major 3 - Semi-Finals 2: Europe, ESL Europe Regional"
Quels jeux vidéo ont été mentionnés dans les événements remportés par le joueur ?,Noms des jeux vidéo,"Trackmania, Super Smash Bros. Ultimate, Valorant, Fortnite, Street Fighter 6"
Quels événements ont été remportés en équipe (Doubles) par le joueur en 2023 ?,"Année 2023, type de compétition (Doubles)","Get On My Level, CIRQUE du CFL, Ultimate Fighting Arena"
Quels sont les titres remportés en 2024 dans le texte ?,,"Vainqueur C5S2 - Session 10, Vainqueur C5S3 - Session 1, Vainqueur C5S3 - Session 2: Europe, Vainqueur C5S3 - Week 4: North America, Vainqueur C5S3 - Week 3: Brazil, Vainqueur C5S3 - Week 3: North America, Vainqueur C5S3 - Week 4: North America, Vainqueur C5S3 - Week 5: Asia, Vainqueur Dzert Sandstorm, Vainqueur CPT World Warrior France-Monaco #2"
Quels sont les parcours notables de l'équipe dans League of Legends ?,,"Finaliste Estival de la LFL en 2021, Finaliste des LFL Finals en 2021, 3e/4e place lors de la Coupe de France en 2022, 5e/8e place lors de la Coupe de France en 2023"
Quelles sont les performances notables de l'équipe dans Teamfight Tactics ?,,"3e place lors des Dragonlands en 2022, 3e place du Split 1 en 2022"
Quelles sont les résultats de l'équipe dans Rocket League en 2022 et 2023 ?,,"5e/8e place lors du Rocket League Championship Series 2022, 4e et 5e/8e places lors des RLCS - International LAN Major 2022, 3e/4e place lors du Rocket League Championship Series 2023"
Quels sont les résultats de l'équipe dans Valorant ?,,"3e/4e place au VRL France : Révolution, 4e place lors de la Lyon e-Sport 2022"
Quelle structure a le plus de participation en finale des Amazon European Masters ?,Amazon European Masters,League of Legends
Quelle structure est la plus titrée des Amazon European Masters ?,Amazon European Masters,League of Legends
Quelle structure a remporté trois fois de suite les Amazon European Masters ?,Amazon European Masters,League of Legends
Quelle structure s'est qualifiée trois fois de suite pour la finale des Amazon European Masters ?,Amazon European Masters,League of Legends
Quelle structure a remporté deux fois de suite les Amazon European Masters ?,Amazon European Masters,League of Legends
Quelle structure s'est qualifiée deux fois de suite pour la finale des Amazon European Masters ?,Amazon European Masters,League of Legends
Qui a remporté le tout premier championnat du monde de Teamfight Tactics en 2020 ?,,Le champion du monde de Teamfight Tactics en 2020 est [Nom du joueur].
Quels sont les rôles des joueurs dans le jeu League of Legends ?,,"Le top laner, le jungler, le mid laner, l'AD Carry (ADC ou bot laner) et le support.

-"
Où joue le top laner dans League of Legends ?,,"Sur la top lane, la zone haute de la carte.

-"
Où joue le jungler dans League of Legends ?,,"Dans la jungle, une zone remplie de monstres sur la carte.

-"
Où joue le mid laner dans League of Legends ?,,"Sur la mid lane, la zone au milieu de la carte.

-"
Quel est le rôle de l'AD Carry dans League of Legends ?,,"Jouer sur la bot lane en formant un duo avec le support.

-"
Quel est le rôle du support dans League of Legends ?,,"Jouer sur la bot lane en formant un duo avec l'AD Carry pour apporter du soutien.

-"
Quel est le surnom de l'équipe Misfits Gaming ?,,"En référence à leur logo représentant un lapin.

-"
"Que désigne le terme ""roster"" dans le contexte des jeux vidéo ?",,"L'ensemble des joueurs d'une équipe.

-"
Qu'est-ce qu'un match amical dans le contexte des tournois de jeux vidéo ?,,Un match en condition de tournoi mais qui ne s'inscrit dans aucune compétition officielle.
Quel événement a eu lieu le 11 juillet 2023 selon France Info ?,France Info,"Les ""Blue Wall"" au championnat de France de League of Legends"
Qui a écrit l'article sur la Karmine Corp daté du 14 mars 2022 ?,Le Figaro,Tom Prevot
Quand est-ce que la Karmine Corp aura ses Arènes à Evry-Courcouronnes selon France Info ?,France Info,L'été prochain
"Quand Emre ""Double61"" Demitras est devenu champion du monde de TFT selon L'Équipe ?",L'Équipe,9 septembre 2020
Qui a annoncé le partenariat avec la Kameto Corp pour rentrer en LFL avec Karmine Corp selon Dexerto ?,Dexerto,Gaston Cuny
Quand Kameto et Prime ont-ils créé la Karmine Corp selon Breakflip ?,Breakflip,16 novembre 2020
Quelle est la date de publication de l'article sur MGG ?,MGG,18 octobre 2023
Quel est le titre de l'article sur L'Équipe consulté le 14 août 2024 ?,"L'Équipe, 14 août 2024","""Esport - Karmine Corp : KCX, un événement ultra réussi"""
Qui est l'auteur de l'article sur L'Equipe consulté le 8 janvier 2024 ?,"L'Equipe, 8 janvier 2024",Paul Arrivé
Quel est le titre de l'article sur Le Figaro consulté le 15 septembre 2023 ?,"Le Figaro, 15 septembre 2023","""De Twitch à Paris La Défense Arena, le club d’e-sport Karmine Corp remplit les salles"""
"Quelle est la date à laquelle la Karmine Corp s'installera dans les ""Arènes de l'Agora"" à Evry ?",,En 2024
Quel est le nom du nouveau projet de la Karmine Corp pour trouver les talents de demain ?,,Karmine Blue Stars
Qui a été annoncé comme premier joueur par la Karmine Corp pour son entrée en LFL ?,,Adam
Quel est le titre de l'article sur Breakflip concernant la Karmine Corp ?,,"""Karmine Blue Stars, nouveau projet de la structure pour trouver les talents de demain !"""
Quel est le titre de l'article sur Millenium FR concernant la Karmine Corp et Adam ?,,"""LoL : pour son entrée en LFL la Karmine Corp annonce Adam en premier joueur"""
Qui a quitté la Karmine Corp ?,,Adam
Qui a rejoint la Karmine Corp ?,,Cabochard
Quel événement a eu lieu le 4 octobre 2021 ?,,Misfits Premier est devenu champion de France
Quelles sont les autres chances françaises des European Masters selon Lucas Jacque ?,,Akabane et Hantera
Quelle équipe a rejoint le dernier carré des European Masters ?,,La Karmine Corp
Quelle équipe a battu la Karmine Corp en finale de LFL?,,BDS
Quelle équipe a renversé Vitality pour jouer la finale des European Masters?,,Karmine Corp
Quelle équipe a battu la Karmine Corp dans le premier tour des playoffs de la LFL Summer Split?,,GameWard
Quelle équipe a fait un pentakill en quart de finale des European Masters?,,Vitality.Bee
"Quelle équipe a été mentionnée dans l'article ""Le KCX2 ou comment la Karmine Corp entretient sa hype"" sur Eclypsia?",,Karmine Corp
Quelle équipe est mentionnée dans l'article ?,,Karmine Corp
Quelle est la date de consultation de l'article sur Millenium FR ?,,23 août 2022
Qui sont les joueurs de retour à la Karmine Corp pour la saison 2023 ?,,Cinkrof et Targamas
Quel est le titre de l'article de Benjamin Vanese sur Team aAa ?,,La Karmine Corp se défait de BK ROG et se qualifie pour la finale de la LFL Summer Split 2023
Quelle équipe la Karmine Corp a-t-elle battue pour se qualifier en finale de la LFL Summer Split 2023 ?,,BK ROG
"Qui est l'auteur de l'article ""Esport - League of Legends : Caliste, le plus beau des cadeaux"" sur L'Équipe ?",,Paul Arrivé
Quelle équipe a été éliminée de la LEC ?,,"Rogue

-"
Quelle équipe a impressionné dans la LEC ?,,"G2

-"
Quelle équipe a été classée dans le top 4 de la LEC ?,,"MAD Lions

-"
Qui va remplacer le poste d'entraîneur en chef chez Karmine Corp ?,,"SOURCES KARMINE CORP

-"
Qui est la première recrue estivale de la Karmine Corp ?,,"Closer

-"
Qui rejoint l'équipe Karmine Corp pour le Summer Split en remplacement de Cabochard ?,,"Canna

-"
Qui a été sacré champion du monde de TFT ?,,Double61
Quelle est la date de publication de l'article sur la Karmine Corp sur Rocket League sur Team aAa ?,Nom du site web (Team aAa),25 juin 2021
"Qui a publié l'article sur les 3 actualités esport de la semaine avec la Karmine Corp, FIFA 22 et la Trackmania Cup sur sport.fr ?",Date de publication (30 juillet 2021),Hugo Bernabeu
Quelle est la date de consultation de l'article sur Bren rejoignant l'écurie de la Kameto Corp sur Trackmania sur actustream.fr ?,Date de consultation (7 janvier 2022),Date non spécifiée dans le texte
Quelle est la date de consultation de l'article sur la Karmine Corp devenant championne du monde sur TrackMania sur Red Bull ?,Date de consultation (16 avril 2024),27 novembre 2023
"Sur quel site web a été consulté l'article sur la Karmine Corp devenant championne du monde sur le jeu de course ""Trackmania"" ?",Date de consultation (16 avril 2024),BFMTV
"Quelle est la raison pour laquelle la Karmine Corp se retire de la compétition sur TrackMania, Super Smash Bros. et Teamfight Tactics ?",,"La Karmine Corp se retire de la compétition sur TrackMania, Super Smash Bros. et Teamfight Tactics pour une raison non spécifiée."
Quel jeu a vu l'arrivée de la Karmine Corp dans le domaine de l'esport ?,,La Karmine Corp a débarqué sur Rocket League.
Quel événement a remporté la Karmine Corp avec le joueur belge AztraL sur Rocket League ?,,La Karmine Corp a remporté le Weplay Esports Invitational avec le joueur belge AztraL.
Quelle performance a réalisé la Karmine Corp dès son arrivée dans l'esport sur Rocket League ?,,La Karmine Corp a été performante dès son arrivée dans l'esport sur Rocket League.
Quelle équipe a remporté le Rocket League Championship Series Winter Major Finale ?,Max Thielmeyer,Karmine Corp
Qui a été champion du monde de Rocket League en août 2023 ?,Diane Masson,Vitality
Quels joueurs ont quitté la Karmine Corp en octobre 2023 ?,Julie Froetscher,"Itachi, ExoTiiK et Eversax"
Qui a rejoint la Karmine Corp en décembre 2023 ?,Lucas Jacque,Rise et Atow
Quel est le nom de l'auteur de l'article sur la Karmine Corp dans Rocket League ?,Rocket League,Lucas Jacque
Quelle est la date de publication de l'article sur la Karmine Corp dans Rocket League sur Eclypsia ?,Eclypsia,11 mars 2024
Où a été publié l'article sur Gentle Mates à Copenhague ?,Gentle Mates,20 minutes
Quelle est la date de consultation de l'article sur Gentle Mates à Copenhague ?,Gentle Mates,11 avril 2024
Qui a annoncé l'arrivée officielle de la Karmine Corp sur Valorant ?,Valorant,Benjamin Vanese
Quel site a publié l'article sur la Karmine Corp naviguant sur Valorant pour dominer davantage ?,Valorant,Dexerto.fr
Quelle est la date de consultation de l'article sur la séparation du roster Valorant de la Karmine Corp ?,Mandatory.gg,11 mars 2024
Quel est le premier titre européen remporté par la Karmine Corp dans Valorant ?,Valorant,Esport - Valorant
Quel site a été consulté pour obtenir des informations sur l'esport Valorant ?,valorantesports.com,L'Équipe
Quelle équipe féminine de Valorant est mentionnée dans l'article ?,,Equipe KC Valorant féminine
Quel joueur est le premier joueur officiel de la Karmine Corp sur Smash Bos Ultimate ?,,Kurama
"Quelles activités la Karmine Corp a-t-elle cessé sur Trackmania, TFT et Smash ?",,"Trackmania, TFT et Smash"
Quelle nouvelle discipline esportive la Karmine Corp a-t-elle annoncé qu'elle se lance dessus ?,,Fortnite
Quelles sont les entreprises partenaires de la Karmine Corp ?,,"Direct Assurance, Orange, ekWateur, CIC"
Quels sont les médias où l'on peut trouver des articles sur les partenariats de la Karmine Corp ?,,"Sport Stratégies, L'Équipe, sportstrategies.com"
Quelle est la date de consultation de l'article sur Direct Assurance et la Karmine Corp ?,,15 septembre 2021
Qui est l'auteur de l'article sur ekWateur et la Karmine Corp ?,,Sam Repoux
Quelle est la durée du partenariat entre le CIC et la Karmine Corp ?,,Trois ans
Quand a été fondé Karmine Corp ?,,30 mars 2020 (Kameto Corp) 16 novembre 2020 (Karmine Corp)
Quel est le type d'organisation de Karmine Corp ?,,Club esportif
Dans quel pays est situé le siège de Karmine Corp ?,,France
Qui sont les fondateurs de Karmine Corp ?,,"Kameto, Kotei (d), Prime"
Qui est le président actuel de Karmine Corp ?,,Kameto (depuis 2021)
Quel est le nom de la structure d'esport mentionnée dans le texte ?,,Karmine Corp
Quels sont les jeux sur lesquels la structure Karmine Corp est présente ?,,"League of Legends, Rocket League, Valorant, Teamfight Tactics, Fortnite, Street Fighter 6 et Tekken 8"
Qui a formé la structure sous le nom de Kameto Corp ?,,Le duo de streamers francophones Kamel « Kameto » Kebir et Zouhair « Kotei » Darji
Quand la société par actions simplifiée de Karmine Corp a-t-elle été créée ?,,Quelques mois après le 30 mars 2020
Qui préside la société par actions simplifiée de Karmine Corp ?,,Kameto
Qui a rejoint la direction de Karmine Corp le 16 novembre 2020 ?,,L'entrepreneur et rappeur français Amine « Prime » Mekri
Où est principalement basée l'entreprise Karmine Corp ?,,À Paris
Depuis quand dispose-t-elle de locaux à Berlin ?,,Depuis 2023
En quelle année est-elle devenue club résident aux Arènes de l'Agora à Evry-Courcouronnes ?,,En 2024
Quelle section de jeu a été créée par la structure pour débuter dans l'esport?,,League of Legends
